Step,AgentID,voted_for,num_votes,is_winner,num_wins,threshold,exit_probability,type,opinion1
2,75,,,,,,,voter,0.29099617768863295
2,76,,,,,,,voter,0.10565748815931764
2,77,,,,,,,voter,0.0374154546594434
2,78,,,,,,,voter,0.19199154501723192
2,79,,,,,,,voter,0.48971245649356254
2,80,,,,,,,voter,0.4743554499334156
2,81,,,,,,,voter,0.00986447754930031
2,82,,,,,,,voter,0.8705242839591949
2,83,,,,,,,voter,0.6021423154232628
2,84,,,,,,,voter,0.39351796319198284
2,85,,,,,,,voter,0.5795760977992699
2,86,,,,,,,voter,0.5530131875453652
2,87,,,,,,,voter,0.5443453364892799
2,88,,,,,,,voter,0.7411238140451639
2,89,,,,,,,voter,0.31039866522464554
2,90,,,,,,,voter,0.712565829302431
2,91,,,,,,,voter,0.27246796243142435
2,92,,,,,,,voter,0.24550676502471525
2,93,,,,,,,voter,0.6007967420868106
2,94,,,,,,,voter,0.3740234186473119
2,95,,,,,,,voter,0.7522024549390374
2,96,,,,,,,voter,0.6252572496152482
2,97,,,,,,,voter,0.10345678982179551
2,98,,,,,,,voter,0.4773914803706424
2,99,,,,,,,voter,0.5005321294168377
2,100,100.0,0.0,False,0.0,0.95,0.33,candidate,0.9376017709935527
2,101,101.0,0.0,False,0.0,0.95,0.33,candidate,0.20959678015045854
2,102,102.0,0.0,False,0.0,0.95,0.33,candidate,0.1201967632536675
3,0,,,,,,,voter,0.5473422720607841
3,1,,,,,,,voter,0.292320296591856
3,2,,,,,,,voter,0.24196940108190035
3,3,,,,,,,voter,0.2429294028568345
3,4,,,,,,,voter,0.539881252385259
3,5,,,,,,,voter,0.8738815775243158
3,6,,,,,,,voter,0.8984867806503969
3,7,,,,,,,voter,0.6443570782074236
3,8,,,,,,,voter,0.9685457843837484
3,9,,,,,,,voter,0.7078753301817116
3,10,,,,,,,voter,0.12559539860734958
3,11,,,,,,,voter,0.9653384189289855
3,12,,,,,,,voter,0.8064805701977665
3,13,,,,,,,voter,0.47804742956456214
3,14,,,,,,,voter,0.9337431405917832
3,15,,,,,,,voter,0.8151610605017898
3,16,,,,,,,voter,0.16897769011371755
3,17,,,,,,,voter,0.8279573651204574
3,18,,,,,,,voter,0.6531085691840138
3,19,,,,,,,voter,0.615329986251283
3,20,,,,,,,voter,0.1552483420372649
3,21,,,,,,,voter,0.4112799625411737
3,22,,,,,,,voter,0.48758140890920254
3,23,,,,,,,voter,0.7209172273136791
3,24,,,,,,,voter,0.8238879161023359
3,25,,,,,,,voter,0.980373962429508
3,26,,,,,,,voter,0.6192993253250952
3,27,,,,,,,voter,0.02582645249485227
3,28,,,,,,,voter,0.8758116345776423
